text,category
Nagtatanong lang tungkol sa schedule ng koleksyon ng basura sa Dagatan ngayong linggo.,other
Rescue po sa Marawoy! Pati mga hayop namin nalunod na sa mataas na tubig!,disaster_flooding
"May matanda na walang makasama dito sa Lumbang, naiipit sa baha, agahan ninyo!",disaster_flooding
"Masayang-masaya ang programa ng Lumbang kanina sa plaza, maraming dumalo!",other
"Ang canal sa Tambois ay puno na ng basura, nagsisimulang mag-overflow sa kalsada.",public_infrastructure
Hindi pa nagaayos ng drainage sa Tambois kahit ilang beses na naming irineport sa LGU.,public_infrastructure
"Sira ang footbridge sa Marawoy, mapanganib na tumawid ang mga bata at matatanda.",public_infrastructure
Kailan ang fiesta sa Plaridel? Gusto naming makilahok sa selebrasyon.,other
Rescue po sa Mataas na Lupa! Pati mga hayop namin nalunod na sa mataas na tubig!,disaster_flooding
"Gumuho ang bahagi ng kalsada sa Marawoy malapit sa eskwelahan, mapanganib sa bata.",public_infrastructure
"May nagaaway na grupo sa kanto ng Banaybanay, baka may masamang mangyari agad!",public_safety
"Nawalan ng ilaw ang kalahati ng Tambois dahil sa sirang transformer, kelan aayusin?",public_infrastructure
"Tulong! Lampas tao na ang baha dito sa Sabang, hindi na makawala ang mga tao!",disaster_flooding
"SOS! Lampas tuhod na ang baha sa Lumbang, hindi na kaya ng mga matatanda!",disaster_flooding
"Ang dilim ng kalsada sa Sabang ng gabi, delikado para sa mga naglalakad.",public_safety
"Nabuwal ang malaking puno sa kalsada ng Inosluban dahil sa bagyo, naharang ang trapiko.",transportation_traffic
"Sira ang kalsada sa Inosluban, puno ng butas, mapanganib sa motor at kotse.",transportation_traffic
"Ang canal sa Plaridel ay puno na ng basura, nagsisimulang mag-overflow sa kalsada.",public_infrastructure
"Mag-ingat sa Mataas na Lupa road, may malalim na butas sa kalsada na bago pa lang nagbukas!",transportation_traffic
"Nagsisigawan ang mga tao sa Dagatan, pakicheck ng barangay tanod o police ngayon!",public_safety
Takot maglakad sa gabi sa Banaybanay dahil walang ilaw at maraming suspicious na tao.,public_safety
"Nabuwal ang electric post sa Dagatan road, wire nakasabit pa, delikado para sa lahat.",public_infrastructure
"Walang tubig na dumadating sa Tambois simula kagabi, may naputol na linya ng NAWASA.",public_infrastructure
"May aksidente sa motor sa Inosluban, duguan ang driver at pasahero, kailangan ng ambulansya!",public_safety
Security issue sa Plaridel: may mga naka-motor na naglilibot parang nagre-recon ng area.,public_safety
"Walang pumapasok na pampublikong sasakyan sa Lumbang, stranded ang mga pasahero.",transportation_traffic
"May nang-iistorbo at nagbabanta sa mga residente ng Inosluban, pakicheck ng pulis.",public_safety
"Grabe ang baha sa Plaridel, umabot na sa bubong ng mga bahay! Tulong sa aming lugar!",disaster_flooding
"Salamat sa mga volunteer na naglinis ng Plaridel kahapon, maganda na ang tingin ngayon.",other
"Sira ang pangunahing linya ng tubig sa Pinagtongulan, wala kaming tubig simula kahapon.",public_infrastructure
"Nagsisigawan ang mga tao sa Sabang, pakicheck ng barangay tanod o police ngayon!",public_safety
"Tulong! Lampas tao na ang baha dito sa Mataas na Lupa, hindi na makawala ang mga tao!",disaster_flooding
"Update mula sa Inosluban: Hindi pa bumababa ang baha, marami pang pamilya ang naiipit.",disaster_flooding
"May mabangis na aso sa Banaybanay na nakakagat ng mga bata, pakiaksyon ng barangay.",public_safety
"May nang-iistorbo at nagbabanta sa mga residente ng Mataas na Lupa, pakicheck ng pulis.",public_safety
"Baha na naman sa Inosluban, hindi na maubos-ubos. Lampas na sa kalye ang tubig.",disaster_flooding
"May nakawan na nangyayari dito sa Marawoy, nasaan ang barangay tanod at police?",public_safety
"Ang tubig sa Sabang ay patuloy pang tumataas, kailangan na ng evacuation!",disaster_flooding
"Sobrang traffic sa Inosluban dahil sa nabagsak na puno sa kalsada, walang makadaan!",transportation_traffic
"Napakaraming sasakyan ang naghihintay sa Lumbang, may isinasarang daan ngayon.",transportation_traffic
"Tanong lang po, may libreng seminar ba para sa mga magsasaka sa Mataas na Lupa ngayong buwan?",other
"Maganda ang bagong park sa Dagatan, salamat sa LGU sa proyektong ito!",other
"Traffic grabe sa Dagatan road, dalawang oras na kaming hindi gumagalaw sa kalsada.",transportation_traffic
"Salamat sa mga nagbakuna dito sa Dagatan kahapon, maayos ang programa ng health center.",other
"Napakaraming sasakyan ang naghihintay sa Tambois, may isinasarang daan ngayon.",transportation_traffic
